City,State,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
New York, NY,100.0,100.0,100.0,100.0,100.0,100.0
San Francisco, CA,90.5,78.0,85.0,103.6,90.3,156.6
Honolulu, HI,86.9,57.4,73.8,105.1,81.7,103.5
Boston, MA,83.7,75.2,79.9,92.3,90.4,127.3
Seattle, WA,78.9,58.1,69.7,88.1,80.6,172.9
Washington, DC,78.7,66.9,73.5,83.3,85.3,144.5
San Diego, CA,77.9,67.1,73.1,77.1,80.8,139.6
Los Angeles, CA,76.3,62.9,70.4,81.1,89.2,123.3
Sacramento, CA,76.0,49.6,64.3,85.1,72.7,128.7
Philadelphia, PA,73.9,41.3,59.5,88.4,72.0,125.0
Chicago, IL,73.2,54.3,64.8,82.6,84.1,136.9
Miami, FL,72.8,68.6,71.0,73.2,84.7,106.7
Atlanta, GA,71.7,42.8,58.9,85.1,75.1,169.6
Denver, CO,71.6,50.6,62.3,76.2,75.3,142.7
New Orleans, LA,71.2,40.4,57.6,73.4,89.9,121.4
Portland, OR,71.2,44.8,59.5,78.3,69.1,147.3
Tampa, FL,71.1,45.8,59.9,79.5,76.4,147.6
Charlotte, NC,70.0,49.0,60.7,82.9,69.3,136.7
Raleigh, NC,68.8,43.1,57.4,80.5,67.5,150.3
Pittsburgh, PA,68.7,36.9,54.6,83.1,64.4,145.0
Minneapolis, MN,67.3,35.6,53.2,77.2,73.7,158.4
Columbus, OH,66.8,37.1,53.7,74.5,68.4,131.0
Nashville, TN,66.4,47.4,58.0,74.3,70.4,143.9
Dallas, TX,65.8,46.2,57.1,69.2,67.1,152.8
Baltimore, MD,65.8,41.5,55.0,76.0,67.9,133.7
Surrey, BC,65.1,39.1,53.6,68.9,61.8,92.6
Orlando, FL,64.6,45.2,56.0,72.2,73.3,141.1
Las Vegas, NV,64.5,38.3,52.9,65.3,73.6,142.9
Victoria, BC,63.8,38.0,52.4,75.1,63.3,86.0
Phoenix, AZ,63.8,37.9,52.3,65.7,72.3,154.5
Madison, WI,63.6,39.3,52.8,71.8,64.3,151.7
Tucson, AZ,63.1,31.6,49.2,68.6,68.0,133.1
Vancouver, BC,62.7,45.8,55.2,70.6,65.2,105.1
Saint Louis, MO,62.3,34.8,50.1,70.0,70.1,167.1
Salt Lake City, UT,61.9,38.0,51.3,65.3,67.1,156.3
Austin, TX,61.7,50.1,56.6,66.0,66.6,163.7
Toronto, ON,61.4,40.7,52.2,64.8,64.2,113.0
Kelowna, BC,61.3,31.1,47.9,70.9,59.9,96.5
Calgary, AB,61.0,31.6,48.0,69.2,60.1,119.9
Houston, TX,60.6,39.8,51.4,63.4,68.9,150.0
Boise, ID,60.6,35.6,49.5,65.7,67.8,152.5
Jacksonville, FL,59.7,38.1,50.1,64.9,68.7,143.1
Halifax, NS,59.3,32.6,47.5,67.8,57.5,100.0
Ottawa, QC,59.0,31.5,46.8,65.5,60.2,116.7
San Antonio, TX,58.8,34.6,48.1,60.8,65.2,154.5
Montreal, QC,58.4,27.1,44.5,68.5,61.7,111.1
Edmonton, AB,58.3,25.6,43.8,66.5,57.9,116.9
Mississauga, ON,57.4,39.2,49.3,58.4,56.6,116.0
Quebec City, ON,56.7,20.4,40.6,63.8,57.2,113.5
Winnipeg, MB,55.0,22.2,40.5,62.3,57.0,111.9
Cincinnati, OH,54.6,35.0,45.9,60.9,54.7,161.5
London, ON,54.5,32.1,44.6,59.8,58.7,105.5
