concept,city,state_province,country,start_of_day_offset
FAST_FOOD,Albuquerque,NM,US,00:00:00
FAMILY_DINING,Brooklyn,NY,US,00:00:00
FAST_CASUAL,Windsor,ON,CA,00:00:00
BAR,Burnaby,BC,CA,01:00:00
FAMILY_DINING,Tisdale,SK,CA,00:00:00
FAMILY_DINING,CALGARY,AB,CA,00:00:00
CAFE,Edmonton,AB,CA,00:00:00
FAMILY_DINING,Windsor,ON,CA,04:00:00
FAST_FOOD,Worth Township,IL,US,00:00:00
SPORTS_CLUB,Toronto,ON,CA,00:00:00
FAST_CASUAL,Payson,AZ,US,00:00:00
FAMILY_DINING,Toronto,ON,CA,00:00:00
FAST_CASUAL,Victoria,BC,CA,00:00:00
FAST_CASUAL,Hereford,TX,US,00:00:00
CAFE,Brooklyn,NY,US,00:00:00
CAFE,Ottawa,ON,CA,00:00:00
FAST_CASUAL,Surrey,BC,CA,00:00:00
FAMILY_DINING,Cave Creek,AZ,US,00:00:00
FAMILY_DINING,Seattle,WA,US,00:00:00
, Caguas,PR,US,00:00:00
BAR,Petty Harbour-Maddox Cove,NL,CA,00:00:00
CAFE,Vancouver,BC,CA,05:00:00
FAMILY_DINING,Brook,IN,US,00:00:00
FINE_DINING,Fredonia,NY,US,02:00:00
BREWERY,Halton Hills,ON,CA,04:00:00
CAFE,Menomonie,WI,US,00:00:00
FAMILY_DINING,Hialeah,FL,US,17:00:00
FAST_CASUAL,Windsor,ON,CA,00:00:00
FAST_CASUAL,Union City,CA,US,00:00:00
BAR,Omaha,NE,US,11:00:00
FAMILY_DINING,West Albany Township,MN,US,02:00:00
BAR,Grand Rapids,MI,US,00:00:00
FAST_CASUAL,Vancouver,BC,CA,00:00:00
FAMILY_DINING,La Salle,ON,CA,05:00:00
CAFE,Marion,IN,US,00:00:00
, Niles Township,IL,US,00:00:00
BREWERY,Toronto,ON,CA,04:00:00
FAMILY_DINING,Burnaby,BC,CA,11:00:00
FAST_CASUAL,Ucluelet,BC,CA,00:00:00
CAFE,Ocean City,MD,US,05:00:00
POP_UP,Columbus,GA,US,00:00:00
FAST_CASUAL,Ottawa,ON,CA,10:00:00
BAR,Ottawa,ON,CA,06:00:00
BAR,Barrie,ON,CA,04:00:00
FAST_FOOD,Bristow,OK,US,00:00:00
FINE_DINING,Mississauga,ON,CA,04:00:00
CAFE,Porters Lake,NS,CA,00:00:00
FAMILY_DINING,Thousand Oaks,CA,US,00:00:00
FAST_CASUAL,Rincon,GA,US,00:00:00
CAFE,Mississauga,ON,CA,00:00:00
FAMILY_DINING,Prince George,BC,CA,00:00:00
FAMILY_DINING,Severn,ON,CA,00:00:00
FAST_CASUAL,McAlester,OK,US,00:00:00
FAST_CASUAL,Ottawa,ON,CA,00:00:00
BAR,Toronto,ON,CA,06:00:00
CAFE,Auburn,ME,US,00:00:00
CAFE,Hamilton,ON,CA,06:00:00
FAMILY_DINING,Easton,MD,US,00:00:00
FINE_DINING,Ottawa,ON,CA,05:00:00
FAMILY_DINING,Goodfield,IL,US,00:00:00
BAR,Red Deer,AB,CA,07:00:00
FAST_CASUAL,St. Catharines,ON,CA,00:00:00
FINE_DINING,Richboro,PA,US,00:00:00
BAR,Fairfield,CA,US,02:00:00
FAMILY_DINING,Burlington,ON,CA,00:00:00
FAMILY_DINING,Victoria,BC,CA,00:00:00
BAR,Winnipeg,MB,CA,10:00:00
CAFE,Toronto,ON,CA,00:00:00
FINE_DINING,Sevierville,TN,US,00:00:00
FAMILY_DINING,Orange,CA,US,01:00:00
FAMILY_DINING,Brewster,MA,US,00:00:00
CAFE,Victoria,BC,CA,00:00:00
CAFE,Denver,CO,US,04:00:00
BREWERY,Dartmouth,NS,CA,02:00:00
FAMILY_DINING,Metairie,LA,US,00:00:00
FAST_FOOD,Warwick,RI,US,00:00:00
FAMILY_DINING,New York,NY,US,03:00:00
FAMILY_DINING,"Colorado City",TX,US,00:00:00
FAST_CASUAL,Ocoee,FL,US,00:00:00
BAR,Guelph,ON,CA,00:00:00
CAFE,Toronto,ON,CA,00:00:00
,New York,NY,US,08:00:00
FAMILY_DINING,Toronto,ON,CA,00:00:00
,Dartmouth,NS,CA,00:00:00
FAST_CASUAL,Fayetteville,AR,US,00:00:00
CAFE,Houston,TX,US,00:00:00
FAST_CASUAL,Barrie,ON,CA,11:00:00
BAR,Hamilton,ON,CA,09:00:00
FAST_CASUAL,Murray,UT,US,09:00:00
BAR,Vancouver,BC,CA,02:00:00
,Charlottetown,PE,CA,00:00:00
FAMILY_DINING,Mississauga,ON,CA,00:00:00
FAMILY_DINING,Port Elgin,ON,CA,05:00:00
BAR,Charles Town,WV,US,00:00:00
BAR,Sun  Peaks,BC,CA,03:00:00
FAST_CASUAL,Baltimore,MD,US,00:00:00
,Appleton,WI,US,00:00:00
BAR,Albany,NY,US,05:00:00
FAMILY_DINING,Miami,FL,US,00:00:00
CAFE,Brocton,NY,US,00:00:00
,Sarnia,ON,CA,00:00:00
FAMILY_DINING,Toronto,ON,CA,08:00:00
FINE_DINING,Winnipeg,MB,CA,04:00:00
FAMILY_DINING,Union city,GA,US,04:00:00
CAFE,Squamish,BC,CA,06:00:00
FAMILY_DINING,Calgary,AB,CA,08:00:00
,Vancouver,BC,CA,06:00:00
FINE_DINING,Honolulu,HI,US,00:00:00
FAMILY_DINING,Denver,CO,US,05:00:00
FAMILY_DINING,Sacramento,CA,US,00:00:00
,LAKEFIELD,ON,CA,07:00:00
,YADKINVILLE,NC,US,00:00:00
CAFE,Valencia,CA,US,01:00:00
FAMILY_DINING,Scarborough ,ON,CA,00:00:00
BREWERY,Ottawa,ON,CA,05:00:00
FAMILY_DINING,Newmarket,ON,CA,00:00:00
FAMILY_DINING,Vancouver,BC,CA,04:00:00
CAFE,Orleans,ON,CA,00:00:00
FAST_CASUAL,Toronto,ON,CA,00:00:00
CAFE,Greenville,SC,US,06:00:00
,St John's,NL,CA,00:00:00
CAFE,Abbotsford,BC,CA,00:00:00
FAMILY_DINING,Kitchener,ON,CA,12:00:00
FAMILY_DINING,Rockledge,FL,US,00:00:00
,Chester,PA,US,06:00:00
CAFE,Toronto,ON,CA,00:00:00
FAMILY_DINING,Memphis,TN,US,08:00:00
,Vancouver,BC,CA,00:00:00
BAR,North Vancouver,BC,CA,00:00:00
,Portola ,CA,US,00:00:00
FAMILY_DINING,Hamilton,ON,CA,00:00:00
BREWERY,Toronto ,ON,CA,02:00:00
FAST_CASUAL,Toronto,ON,CA,00:00:00
,Concord  ,NC,US,00:00:00
BAR,Bulls Gap,TN,US,10:00:00
FAMILY_DINING,Toronto,ON,CA,09:00:00
BREWERY,Madison,WI,US,00:00:00
FAMILY_DINING,Allentown,PA,US,00:00:00
,Collingwood,ON,CA,00:00:00
,Kingsville,ON,CA,12:00:00
FAST_CASUAL,Delta,BC,CA,10:00:00
BAR,Fort Myers,FL,US,06:00:00
FAMILY_DINING,Friendswood,TX,US,00:00:00
FAMILY_DINING,Ottawa,ON,CA,06:00:00
,Port Stanley ,ON,CA,00:00:00
,Walker,MN,US,00:00:00
FAST_FOOD,Crested Butte,CO,US,00:00:00
FAMILY_DINING,Toronto,ON,CA,07:00:00
BAR,Toronto,ON,CA,03:00:00
FAMILY_DINING,Calgary,AB,CA,00:00:00
CAFE,Toronto,ON,CA,00:00:00
CAFE,Ottawa,ON,CA,00:00:00
FAMILY_DINING,Canmore,AB,CA,00:00:00
BAR,Milwaukee,WI,US,05:00:00
BREWERY,Kingsville,ON,CA,06:00:00
FINE_DINING,Carrollton,TX,US,03:00:00
BAR,Comox,BC,CA,00:00:00
BAR,Toronto,ON,CA,07:00:00
BAR,Vancouver,BC,CA,04:00:00
FAMILY_DINING,Halifax,NS,CA,00:00:00
FAMILY_DINING,Vancouver,BC,CA,03:00:00
BAR,Vancouver,BC,CA,00:00:00
FAST_CASUAL,McAlisterville,PA,US,00:00:00
FINE_DINING,Toronto,ON,CA,00:00:00
, Toronto,ON,CA,00:00:00
FAMILY_DINING,McAlester,OK,US,00:00:00
,Leamington,ON,CA,00:00:00
BAR,Toronto,ON,CA,02:00:00
BAKERY,Saskatoon,SK,CA,00:00:00
FAMILY_DINING,Rubicon,WI,US,03:00:00
BAR,Kingston,ON,CA,00:00:00
BAR,Birmingham,AL,US,00:00:00
,Green Bay,WI,US,00:00:00
CAFE,Banff,AB,CA,06:00:00
FAMILY_DINING,POCATELLO,ID,US,00:00:00
FAMILY_DINING,Prineville,OR,US,00:00:00
BAR,Monson,MA,US,00:00:00
BAR,Vancouver,BC,CA,04:00:00
